Sidymella sp.,Illumina HiSeq 2500 (new),IZ-141262,SRR6998912
Spinapis sp.,Illumina HiSeq 2500 (new),IZ-141204,SRR6998907
Synotaxus nr. turbinatus,Illumina HiSeq 2500 (new),IZ-141255,SRR6998908
Tamopsis sp.,Illumina HiSeq 2500 (new),IZ-141231,SRR6998917
Tarlina sp.,Illumina HiSeq 2500 (new),IZ-141229,SRR6998918
Tekelloides sp. 1,Illumina HiSeq 2500 (new),IZ-141219,SRR6998919
Tekelloides sp. 2,Illumina HiSeq 2500 (new),IZ-141220,SRR6998920
Teminius sp.,Illumina HiSeq 2500 (new),IZ-106380,SRR6998921
Tengella radiata,Illumina HiSeq 2500 (new),IZ-141268,SRR7028532
Tetragnatha tantalus,Illumina HiSeq [S50],-,SRR1427108
Theridion sp.,Illumina HiSeq [S43],-,SRR1514902
Theridiosoma gemmosum,Illumina HiSeq 2500 (new),IZ-141274,SRR6998922
Theridiosoma savannum,Illumina HiSeq 2500 (new),IZ-141261,SRR7028533
Trachelas tranquillus,Illumina HiSeq [S45],IZ-19674,SRR1329247
Uliodon sp.,Illumina HiSeq 2500 (new),IZ-141267,SRR6998923
Uloborus glomosus,Illumina HiSeq [S45],IZ-129776,SRR1328334
Verrucosa arenata,Illumina HiSeq [S46],-,SRR3144087
Zosis sp.,Illumina HiSeq 2500 (new),IZ-141265,SRR6998924
